ID,Title,Type,Body,Documents,Categories,Tags,Group,Group Type,Topic,Geo,Date,Language,UID,promote
discussion_1,Blog about Lusail City,info,"Among the numerous construction projects in Qatar is Lusail, an entire planned city emerging from the sand about 15km to the North of Doha. When this Future City is complete it is intended to be home to about a quarter of a million inhabitants living and working in a very advanced, green and sustainable environment. It is not so unusual even in more populous countries for a new urban area to be created - Milton Keynes, which only formally came into existence as a new town in 1967, has roughly that population today. However, whilst the English new town is built on an existing landscape with established sizeable populations and a long history, the transformation of the entire geography in Al Daayen looks set to be much more radical.",doc_1|doc_2|doc_3|doc_4|doc_5|doc_6|doc_7|doc_8|doc_9|doc_10,cat_p_art|cat_p_city,tag_doha|tag_lusail,project_1,project,t_earth,Cook Islands|Vanuatu|Wallis and Futuna Islands,2006|2007|2008,English,user_2,
discussion_2,Weekly review of JPL,info,,,cat_jpl,tag_rsca|tag_seizoen,group_1,group,t_earth,New Zealand|Oceania,After 2020,English,user_6,
discussion_g7_1,"History",info,"<p>Nobel's instructions named a Norwegian Nobel Committee to award the Peace Prize, the members of whom were appointed shortly after the will was approved in April 1897.</p><p>Soon thereafter, the other prize-awarding organisations were designated or established.</p>",,cat_g7_location_oslo|cat_g7_location_stockholm,tag_g7_foundation,group_7,group,t_earth|t_water,Belarus,Before 1990,English,user_8,
discussion_g7_2,"Nobel Foundation",info,"<p>The Nobel Foundation was founded as a private organisation on 29 June 1900.</p><p>Its function is to manage the finances and administration of the Nobel Prizes.</p><p>In accordance with Nobel's will, the primary task of the Foundation is to manage the fortune Nobel left.</p>",,cat_g7_location_oslo|cat_g7_location_stockholm,tag_g7_foundation,group_7,group,t_earth|t_water|t_fire,Sweden,1990,English,user_8,1
discussion_g7_3,"First prizes",idea,"<p>Once the Nobel Foundation and its guidelines were in place, the Nobel Committees began collecting nominations for the inaugural prizes.</p><p>Subsequently they sent a list of preliminary candidates to the prize-awarding institutions.</p>",,cat_g7_prizes_physics|cat_g7_prizes_chemistry|cat_g7_prizes_medicine|cat_g7_prizes_literature|cat_g7_prizes_peace,tag_g7_medal|tag_g7_diploma|tag_g7_money,group_7,group,t_wind|t_water,Sweden,Before 1990,English,user_8,
discussion_g7_4,"Prize in Economic Sciences",question,"<p>In 1968, Sveriges Riksbank celebrated its 300th anniversary by donating a large sum of money to the Nobel Foundation to be used to set up a prize in honor of Nobel.</p><p>The following year, the Nobel Memorial Prize in Economic Sciences was awarded for the first time.</p>",,cat_g7_prizes_economic,tag_g7_medal|tag_g7_diploma|tag_g7_money,group_7,group,t_earth|t_water,Greenland|Bermuda|Northern America,Before 1990,English,user_8,
discussion_g7_5,"Nominations",debate,"<p>Nomination forms are sent by the Nobel Committee to about 3,000 individuals, usually in September the year before the prizes are awarded.</p><p>These individuals are often academics working in a relevant area.</p>",,cat_g7_prizes_physics|cat_g7_prizes_chemistry|cat_g7_prizes_medicine|cat_g7_prizes_literature|cat_g7_prizes_peace|cat_g7_prizes_economic,tag_g7_laureate|tag_g7_foundation,group_7,group,t_earth|t_water,Pacific,,English,user_8,
discussion_g7_6,"Selection",info,"<p>The Nobel Committee then prepares a report reflecting the advice of experts in the relevant fields.</p><p>This, along with the list of preliminary candidates, is submitted to the prize-awarding institutions.</p>",,cat_g7_prizes_physics|cat_g7_prizes_chemistry|cat_g7_prizes_medicine|cat_g7_prizes_literature|cat_g7_prizes_peace|cat_g7_prizes_economic,tag_g7_laureate|tag_g7_foundation,group_7,group,t_wind|t_fire,Other Regions & Classifications,,English,user_8,
discussion_g7_7,"Prize Award idea",info,"<p>Except for the Peace Prize, the Nobel Prizes are presented in Stockholm, Sweden, at the annual Prize Award Ceremony on 10 December, the anniversary of Nobel's death.</p><p>The recipients' lectures are normally held in the days prior to the award ceremony.</p>",,cat_g7_location_oslo,tag_g7_laureate|tag_g7_foundation|tag_g7_ceremonies,group_7,group,t_wind|t_fire,Tonga|Tuvalu|Vanuatu,,English,user_8,
discussion_g7_8,"Nobel Banquet",question,"<p>After the award ceremony in Sweden, a banquet is held in the Blue Hall at the Stockholm City Hall, which is attended by the Swedish Royal Family and around 1,300 guests.</p><p>The banquet features a three-course dinner, entertainment, and dancing, and is covered extensively by Swedish media.</p>",,cat_g7_location_stockholm,tag_g7_laureate|tag_g7_foundation|tag_g7_ceremonies,group_7,group,t_wind|t_fire,Northern America,,English,user_8,
